fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
622f51f0-b52e-433c-a51c-de7463629a14,cb61d75a-f5be-43f0-9a52-ddb5661420e0,"[1000, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1109,22,2,0.913669065,0.142857143,0.5,0.083333333,0.142857143,0.5,0.083333333,658.8780309
622f51f0-b52e-433c-a51c-de7463629a14,19304d6f-410a-4103-adb1-c514fb697975,[100],lbfgs,relu,100000,0.0001,FALSE,None,MLP,1109,22,2,0.802158273,0.06779661,0.057142857,0.083333333,0.06779661,0.057142857,0.083333333,0.15163396
622f51f0-b52e-433c-a51c-de7463629a14,15fd3756-7c7b-4cea-a4a1-3bf3a9424a3f,[200],lbfgs,relu,100000,0.0001,FALSE,None,MLP,1109,22,2,0.90647482,0,0,0,0,0,0,0.542147746
622f51f0-b52e-433c-a51c-de7463629a14,a4577655-cc7f-4645-9dea-de2eaf6fa51d,[500],lbfgs,relu,100000,0.0001,FALSE,None,MLP,1109,22,2,0.464028777,0.138728324,0.080536913,0.5,0.138728324,0.080536913,0.5,0.807705154
622f51f0-b52e-433c-a51c-de7463629a14,4c331b4b-0cf3-443b-8198-2e578d5ab569,[1000],lbfgs,relu,100000,0.0001,FALSE,None,MLP,1109,22,2,0.705035971,0.068181818,0.046875,0.125,0.068181818,0.046875,0.125,2.240327804
622f51f0-b52e-433c-a51c-de7463629a14,aef1aa1d-8454-49be-9185-8e8903231f98,"[100, 20]",lbfgs,relu,100000,0.0001,FALSE,None,MLP,1109,22,2,0.507194245,0.055172414,0.033057851,0.166666667,0.055172414,0.033057851,0.166666667,0.065696819
622f51f0-b52e-433c-a51c-de7463629a14,0b8879b9-74df-4b29-92bc-71f729ced501,"[200, 20]",lbfgs,relu,100000,0.0001,FALSE,None,MLP,1109,22,2,0.420863309,0.199004975,0.11299435,0.833333333,0.199004975,0.11299435,0.833333333,0.064927883
622f51f0-b52e-433c-a51c-de7463629a14,e6a51ce7-f6a4-4a53-b830-b6057e1f5616,"[500, 20]",lbfgs,relu,100000,0.0001,FALSE,None,MLP,1109,22,2,0.086330935,0.158940397,0.086330935,1,0.158940397,0.086330935,1,0.177594032
622f51f0-b52e-433c-a51c-de7463629a14,4298bb08-fbd9-4feb-a8f1-be05d1de25af,"[1000, 20]",lbfgs,relu,100000,0.0001,FALSE,None,MLP,1109,22,2,0.913669065,0,0,0,0,0,0,0.168720827
622f51f0-b52e-433c-a51c-de7463629a14,3ec050d7-06ee-4534-9b1f-d161dc3fb8b0,[100],lbfgs,tanh,100000,0.001,FALSE,None,MLP,1109,22,2,0.917266187,0.08,1,0.041666667,0.08,1,0.041666667,19.50281036
622f51f0-b52e-433c-a51c-de7463629a14,00d1f261-f6ae-4377-8a06-95144e6b0a1e,[200],lbfgs,tanh,100000,0.001,FALSE,None,MLP,1109,22,2,0.917266187,0.148148148,0.666666667,0.083333333,0.148148148,0.666666667,0.083333333,96.80194387
622f51f0-b52e-433c-a51c-de7463629a14,62ad8ec3-207f-45c5-a302-b44d7794d224,[500],lbfgs,tanh,100000,0.001,FALSE,None,MLP,1109,22,2,0.910071942,0,0,0,0,0,0,135.7509084
622f51f0-b52e-433c-a51c-de7463629a14,acbe6570-ee05-4978-9e84-b8cef846534d,[1000],lbfgs,tanh,100000,0.001,FALSE,None,MLP,1109,22,2,0.910071942,0,0,0,0,0,0,603.2161701
622f51f0-b52e-433c-a51c-de7463629a14,17a8a3e1-57df-41aa-bc4e-28e1e12624e6,"[100, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,1109,22,2,0.895683453,0.171428571,0.272727273,0.125,0.171428571,0.272727273,0.125,71.45770378
