fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance
622f51f0-b52e-433c-a51c-de7463629a14,4298bb08-fbd9-4feb-a8f1-be05d1de25af,"[1000, 20]",lbfgs,relu,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,3ec050d7-06ee-4534-9b1f-d161dc3fb8b0,[100],lbfgs,tanh,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,00d1f261-f6ae-4377-8a06-95144e6b0a1e,[200],lbfgs,tanh,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,62ad8ec3-207f-45c5-a302-b44d7794d224,[500],lbfgs,tanh,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,acbe6570-ee05-4978-9e84-b8cef846534d,[1000],lbfgs,tanh,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,17a8a3e1-57df-41aa-bc4e-28e1e12624e6,"[100, 20]",lbfgs,tanh,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,09a0c3cc-4abf-45f0-bfd6-58024523fdf8,"[200, 20]",lbfgs,tanh,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,877a888b-9736-4416-98f4-cccc90f6b89d,"[500, 20]",lbfgs,tanh,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,dc76fb41-87eb-4a6f-95f2-845ba1164a20,"[1000, 20]",lbfgs,tanh,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,7ddd8b6c-3608-4958-943c-0297657dca75,[100],lbfgs,relu,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,8ddec8f0-35f2-4c73-9731-af01dc8bd9b3,[200],lbfgs,relu,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,2a7d2c6b-6f1a-4b10-9fa3-3f9acfac5dc7,[500],lbfgs,relu,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,24a1da65-81eb-41bc-9c74-2e94f7d54d66,[1000],lbfgs,relu,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,8f687273-c248-41f3-9b85-984a88c145ff,"[100, 20]",lbfgs,relu,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,4b00d8a0-3230-469d-aca1-3898ad4762a4,"[200, 20]",lbfgs,relu,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,8bd0cf1b-7c17-4b6f-b2f5-22f1764e130a,"[500, 20]",lbfgs,relu,100000,0.001
622f51f0-b52e-433c-a51c-de7463629a14,487aa0b9-16ef-422a-a47e-8ab104339994,"[1000, 20]",lbfgs,relu,100000,0.001
