fID,eID,trees,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
3c38dd43-36cc-4300-893f-d890d0500de6,2df5d8dd-c538-441d-8e7a-4fac845aa4e5,200,FALSE,None,RF,846,19,4,0.778301887,0.778301887,0.778301887,0.778301887,0.754874677,0.752651276,0.759087442,0.421975021
3c38dd43-36cc-4300-893f-d890d0500de6,dd6f5a9c-9bd8-441e-8734-4ce90be0b8fc,300,FALSE,None,RF,846,19,4,0.768867925,0.768867925,0.768867925,0.768867925,0.746322739,0.745110099,0.751921081,0.628709293
3c38dd43-36cc-4300-893f-d890d0500de6,16f51ca5-14d7-4a38-b005-f9eaf88c9a0e,400,FALSE,None,RF,846,19,4,0.773584906,0.773584906,0.773584906,0.773584906,0.750426494,0.74848545,0.753985401,0.839089465
c9a0d453-3ae6-4cca-bbd8-c09baf601946,52143d80-b93b-4e72-be06-b79e5146ccbb,100,FALSE,None,RF,5000,41,3,0.8568,0.8568,0.8568,0.8568,0.856673126,0.857130629,0.85751854,1.49046283
c9a0d453-3ae6-4cca-bbd8-c09baf601946,833d750f-db05-4a61-84c5-28c85575e720,200,FALSE,None,RF,5000,41,3,0.8584,0.8584,0.8584,0.8584,0.858234479,0.859483396,0.859103789,2.861655256
c9a0d453-3ae6-4cca-bbd8-c09baf601946,414b8f5f-ceac-4aa8-94b0-b539712aa345,300,FALSE,None,RF,5000,41,3,0.8632,0.8632,0.8632,0.8632,0.863209908,0.863825863,0.863843869,4.323052867
c9a0d453-3ae6-4cca-bbd8-c09baf601946,aa5efcab-435f-4ee8-8160-9cb2fe778245,400,FALSE,None,RF,5000,41,3,0.8688,0.8688,0.8688,0.8688,0.868742478,0.869955577,0.869690451,5.733419177
76610bfb-7f98-4497-a064-d4159bfdb7fe,e3131dc6-30f4-4e57-a7d9-79719d2c7cca,100,FALSE,None,RF,6430,37,6,0.921641791,0.921641791,0.921641791,0.921641791,0.90305678,0.920543261,0.893586254,1.078662724
76610bfb-7f98-4497-a064-d4159bfdb7fe,cb9efe55-a37f-48c9-a79a-d7b81877ccd6,200,FALSE,None,RF,6430,37,6,0.922885572,0.922885572,0.922885572,0.922885572,0.905882862,0.920471106,0.897051812,2.055760125
76610bfb-7f98-4497-a064-d4159bfdb7fe,ae9fd087-43cb-4d82-b53b-67721b41f343,300,FALSE,None,RF,6430,37,6,0.921641791,0.921641791,0.921641791,0.921641791,0.903535612,0.919425041,0.894525571,3.073761917
76610bfb-7f98-4497-a064-d4159bfdb7fe,2dd10702-db3f-40bf-9719-019031d02cb2,400,FALSE,None,RF,6430,37,6,0.922885572,0.922885572,0.922885572,0.922885572,0.90490816,0.918326882,0.897371186,4.090053866
ce6b0b92-05a3-4763-8877-544d53c87b14,a4ccf314-d76d-40ad-b399-015676da4c33,100,TRUE,None,RF,7797,618,26,0.952866242,0.952866242,0.952866242,0.952866242,0.950695944,0.952001247,0.950767041,15.72300884
ce6b0b92-05a3-4763-8877-544d53c87b14,5ea8da5f-36b5-4484-82e3-968ff6b954e8,200,TRUE,None,RF,7797,618,26,0.957961783,0.957961783,0.957961783,0.957961783,0.95653256,0.956707461,0.957285594,29.39970222
